UserID,MovieID,MovieTitle,Genre,Rating,ReviewCount,WatchedYear,UserLocation,AgeGroup,StreamingPlatform,WatchTime,IsBingeWatched,SubscriptionStatus
1,487,Spider-Man: No Way Home,Action,2.8,34,2019,India,Senior,Netflix,103,True,Canceled
2,458,Forrest Gump,Drama,4.2,5,2022,India,Adult,Netflix,104,False,Active
3,858,Titanic,Romance,3.7,20,2018,UK,Teen,Netflix,123,True,Canceled
4,800,Titanic,Romance,2.1,31,2018,UK,Teen,Netflix,156,False,Active
5,496,Inception,Sci-Fi,4.9,24,2019,US,Teen,HBO Max,121,False,Canceled
6,474,Forrest Gump,Drama,4.4,48,2022,Germany,Senior,Netflix,158,True,Canceled
7,475,Interstellar,Sci-Fi,2.7,2,2022,Australia,Adult,Amazon,149,False,Active
8,608,The Godfather,Crime,4.0,44,2021,France,Adult,Hulu,95,True,Canceled
9,569,Parasite,Thriller,3.1,5,2021,France,Senior,Amazon,78,False,Canceled
10,930,Spider-Man: No Way Home,Action,4.8,11,2023,UK,Adult,Disney+,232,True,Canceled
11,477,The Godfather,Crime,2.0,46,2021,Germany,Senior,Apple TV,68,False,Active
12,206,The Shawshank Redemption,Drama,2.5,2,2019,Canada,Adult,Hulu,188,False,Active
13,308,Forrest Gump,Drama,2.7,30,2018,France,Senior,Disney+,121,True,Canceled
14,176,The Dark Knight,Action,4.9,43,2023,Australia,Senior,Apple TV,207,False,Active
15,428,The Grand Budapest Hotel,Comedy,2.2,3,2019,US,Adult,HBO Max,206,False,Active
16,123,Spider-Man: No Way Home,Action,4.2,44,2022,Germany,Senior,Hulu,230,False,Canceled
17,848,Interstellar,Sci-Fi,3.7,20,2022,India,Adult,HBO Max,145,True,Active
18,323,Forrest Gump,Drama,2.0,32,2020,Canada,Senior,HBO Max,113,True,Active
19,122,Parasite,Thriller,4.8,44,2022,US,Senior,Hulu,234,True,Active
20,602,Inception,Sci-Fi,4.8,2,2021,Germany,Adult,Apple TV,75,True,Active
21,655,Toy Story,Animation,3.4,21,2018,UK,Teen,Amazon,180,True,Active
22,516,The Shawshank Redemption,Drama,4.1,16,2021,India,Senior,Apple TV,115,True,Active
23,599,The Matrix,Sci-Fi,4.6,30,2021,UK,Adult,Netflix,175,True,Canceled
